name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews
Dog Day Afternoon,1975,R,2h 5min,Biography; Crime; Drama; ,25 December 1975 (USA),8.0,229265,321
Walk the Line,2005,PG-13,2h 16min,Biography; Drama; Music; ,18 November 2005 (USA),7.8,227982,897
Sully,2016,PG-13,1h 36min,Biography; Drama; ,9 September 2016 (USA),7.4,226801,477
The Greatest Showman,2017,PG,1h 45min,Biography; Drama; ,20 December 2017 (USA),7.6,222573,1796
Gandhi,1982,PG,3h 11min,Biography; Drama; History; ,25 February 1983 (USA),8.0,214287,298
The Elephant Man,1980,PG,2h 4min,Biography; Drama; ,10 October 1980 (USA),8.1,212720,416
Ip Man,2008,R,1h 46min,Action; Biography; Drama; ,12 December 2008 (China),8.0,206556,210
Lion,2016,PG-13,1h 58min,Biography; Drama; ,6 January 2017 (USA),8.0,204274,546
BlacKkKlansman,2018,R,2h 15min,Biography; Crime; Drama; ,10 August 2018 (USA),7.5,199225,841
Butch Cassidy and the Sundance Kid,1969,PG,1h 50min,Biography; Crime; Drama; ,24 September 1969 (USA),8.0,198267,425
The Sound of Music,1965,G,2h 52min,Biography; Drama; ,1 April 1965 (USA),8.0,197238,482
Finding Neverland,2004,PG,1h 46min,Biography; Drama; ,17 December 2004 (USA),7.7,195635,656
Remember the Titans,2000,PG,1h 53min,Biography; Drama; Sport; ,29 September 2000 (USA),7.8,193009,452
Everest,2015,PG-13,2h 1min,Action; Adventure; Biography; ,25 September 2015 (USA),7.1,191623,335
Hidden Figures,2016,PG,2h 7min,Biography; Drama; History; ,6 January 2017 (USA),7.8,191159,500
Straight Outta Compton,2015,R,2h 27min,Biography; Drama; History; ,14 August 2015 (USA),7.9,174973,385
Cinderella Man,2005,PG-13,2h 24min,Biography; Drama; History; ,3 June 2005 (USA),8.0,172730,595
Jarhead,2005,R,2h 5min,Action; Biography; Drama; ,4 November 2005 (USA),7.0,172053,695
The Last King of Scotland,2006,R,2h 3min,Biography; Drama; History; ,19 January 2007 (USA),7.7,172012,371
"I, Tonya",2017,R,1h 59min,Biography; Comedy; Drama; ,19 January 2018 (USA),7.5,170713,472
War Dogs,2016,R,1h 54min,Biography; Comedy; Crime; ,19 August 2016 (USA),7.1,170314,215
Erin Brockovich,2000,R,2h 11min,Biography; Drama; ,17 March 2000 (USA),7.3,169430,525
The Assassination of Jesse James by the Coward Robert Ford,2007,R,2h 40min,Biography; Crime; Drama; ,19 October 2007 (USA),7.5,164772,466
Black Mass,2015,R,2h 3min,Biography; Crime; Drama; ,18 September 2015 (USA),6.9,163703,335
Darkest Hour,2017,PG-13,2h 5min,Biography; Drama; ,22 December 2017 (USA),7.4,163237,629
Ed Wood,1994,R,2h 7min,Biography; Comedy; Drama; ,7 October 1994 (USA),7.8,162359,460
Milk,2008,R,2h 8min,Biography; Drama; ,30 January 2009 (USA),7.5,161721,310
The Favourite,2018,R,1h 59min,Biography; Comedy; Drama; ,21 December 2018 (USA),7.5,160787,1196
Alexander,2004,R,2h 55min,Action; Biography; Drama; ,24 November 2004 (USA),5.6,159847,1430
"Girl, Interrupted",1999,R,2h 7min,Biography; Drama; ,14 January 2000 (USA),7.3,159130,418
The Danish Girl,2015,R,1h 59min,Biography; Drama; Romance; ,22 January 2016 (USA),7.1,158324,289
The Insider,1999,R,2h 37min,Biography; Drama; Thriller; ,5 November 1999 (USA),7.8,156188,546
First Man,2018,PG-13,2h 21min,Biography; Drama; History; ,12 October 2018 (USA),7.3,155735,1305
Legend,2015,R,2h 12min,Biography; Crime; Drama; ,20 November 2015 (USA),6.9,152203,266
American Made,2017,R,1h 55min,Action; Biography; Comedy; ,29 September 2017 (USA),7.2,151699,332
In the Name of the Father,1993,R,2h 13min,Biography; Drama; ,25 February 1994 (USA),8.1,151362,184
Steve Jobs,2015,R,2h 2min,Biography; Drama; ,23 October 2015 (USA),7.2,149109,409
Saving Mr. Banks,2013,PG-13,2h 5min,Biography; Comedy; Drama; ,20 December 2013 (USA),7.5,148154,354
Invictus,2009,PG-13,2h 14min,Biography; Drama; History; ,11 December 2009 (USA),7.3,146805,277
Dangal,2016,Not Rated,2h 41min,Action; Biography; Drama; ,21 December 2016 (USA),8.4,144657,385
Unbroken,2014,PG-13,2h 17min,Biography; Drama; Sport; ,25 December 2014 (USA),7.2,141388,429
Ray,2004,PG-13,2h 32min,Biography; Drama; Music; ,29 October 2004 (USA),7.7,135305,460
Monster,2003,R,1h 49min,Biography; Crime; Drama; ,30 January 2004 (USA),7.3,131859,568
Foxcatcher,2014,R,2h 14min,Biography; Drama; Sport; ,16 January 2015 (USA),7.0,131687,335
The Disaster Artist,2017,R,1h 44min,Biography; Comedy; Drama; ,8 December 2017 (USA),7.4,131444,395
Molly's Game,2017,R,2h 20min,Biography; Crime; Drama; ,5 January 2018 (USA),7.4,130955,356
Snowden,2016,R,2h 14min,Biography; Crime; Drama; ,16 September 2016 (USA),7.3,130626,240
Joy,2015,PG-13,2h 4min,Biography; Drama; ,25 December 2015 (USA),6.6,124767,328
Seven Years in Tibet,1997,PG-13,2h 16min,Adventure; Biography; Drama; ,10 October 1997 (USA),7.1,123376,147
"Good Morning, Vietnam",1987,R,2h 1min,Biography; Comedy; Drama; ,15 January 1988 (USA),7.3,122643,155
Capote,2005,R,1h 54min,Biography; Crime; Drama; ,3 February 2006 (USA),7.3,122624,448
Coach Carter,2005,PG-13,2h 16min,Biography; Drama; Sport; ,14 January 2005 (USA),7.3,122245,237
Tombstone,1993,R,2h 10min,Action; Biography; Drama; ,25 December 1993 (USA),7.8,122041,502
Man on the Moon,1999,R,1h 58min,Biography; Comedy; Drama; ,22 December 1999 (USA),7.4,121652,572
Spartacus,1960,PG-13,3h 17min,Adventure; Biography; Drama; ,17 November 1960 (Brazil),7.9,120924,319
Rocketman,2019,R,2h 1min,Biography; Drama; Music; ,31 May 2019 (USA),7.3,120434,944
Guardians of the Galaxy,2014,PG-13,2h 1min,Comedy; ,1 August 2014 (USA),8.0,1017578,1390
Back to the Future,1985,PG,1h 56min,Comedy; ,3 July 1985 (USA),8.5,1015437,1178
Finding Nemo,2003,G,1h 40min,Comedy; ,30 May 2003 (USA),8.1,922237,968
Up,2009,PG,1h 36min,Comedy; ,29 May 2009 (USA),8.2,905205,891
The Truman Show,1998,PG,1h 43min,Comedy; ,5 June 1998 (USA),8.1,901368,1152
Deadpool,2016,R,1h 48min,Comedy; ,12 February 2016 (USA),8.0,876235,1440
Toy Story,1995,G,1h 21min,Comedy; ,22 November 1995 (USA),8.3,858390,606
"Monsters, Inc.",2001,G,1h 32min,Comedy; ,2 November 2001 (USA),8.0,789914,681
Snatch,2000,R,1h 42min,Comedy; ,19 January 2001 (USA),8.3,761777,837
Toy Story 3,2010,G,1h 43min,Comedy; ,18 June 2010 (USA),8.3,735087,884
The Intouchables,2011,R,1h 52min,Comedy; ,13 July 2012 (India),8.5,731286,622
The Big Lebowski,1998,R,1h 57min,Comedy; ,6 March 1998 (USA),8.1,706193,1225
The Hangover,2009,R,1h 40min,Comedy; ,5 June 2009 (USA),7.7,702442,718
Amélie,2001,R,2h 2min,Comedy; Romance; ,8 February 2002 (USA),8.3,686825,1481
The Grand Budapest Hotel,2014,R,1h 39min,Comedy; ,28 March 2014 (USA),8.1,682068,865
Silver Linings Playbook,2012,R,2h 2min,Comedy; Romance; ,25 December 2012 (USA),7.7,648078,836
Ratatouille,2007,G,1h 51min,Comedy; ,29 June 2007 (USA),8.0,620481,741
Life Is Beautiful,1997,PG-13,1h 56min,Comedy; Romance; ,12 February 1999 (USA),8.6,600633,1318
Shrek,2001,PG,1h 30min,Comedy; ,18 May 2001 (USA),7.8,596584,1063
Inside Out,2015,PG,1h 35min,Comedy; ,19 June 2015 (USA),8.1,587091,1027
Kingsman: The Secret Service,2014,R,2h 9min,Comedy; ,13 February 2015 (USA),7.7,576034,936
Groundhog Day,1993,PG,1h 41min,Comedy; Romance; ,12 February 1993 (USA),8.0,566305,769
Birdman or (The Unexpected Virtue of Ignorance),2014,R,1h 59min,Comedy; ,14 November 2014 (USA),7.7,561924,1379
Ted,2012,R,1h 46min,Comedy; ,29 June 2012 (USA),6.9,559723,658
Thor: Ragnarok,2017,PG-13,2h 10min,Comedy; ,3 November 2017 (USA),7.9,557789,1578
Frozen,2013,PG,1h 42min,Comedy; ,27 November 2013 (USA),7.4,557363,1110
Ant-Man,2015,PG-13,1h 57min,Comedy; ,17 July 2015 (USA),7.3,549225,718
Guardians of the Galaxy Vol. 2,2017,PG-13,2h 16min,Comedy; ,5 May 2017 (USA),7.6,544505,1044
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47min,Comedy; ,28 August 1998 (UK),8.2,521113,582
Kick-Ass,2010,R,1h 57min,Comedy; ,16 April 2010 (USA),7.6,515837,845
Toy Story 2,1999,G,1h 32min,Comedy; ,24 November 1999 (USA),7.9,511333,611
Superbad,2007,R,1h 53min,Comedy; ,17 August 2007 (USA),7.6,508483,655
Zombieland,2009,R,1h 28min,Comedy; ,2 October 2009 (USA),7.6,507445,712
Men in Black,1997,PG-13,1h 38min,Comedy; ,2 July 1997 (USA),7.3,504085,344
21 Jump Street,2012,R,1h 49min,Comedy; ,16 March 2012 (USA),7.2,499686,401
Shaun of the Dead,2004,R,1h 39min,Comedy; ,24 September 2004 (USA),7.9,499316,971
Despicable Me,2010,PG,1h 35min,Comedy; ,9 July 2010 (USA),7.6,488655,360
Monty Python and the Holy Grail,1975,PG,1h 31min,Comedy; ,6 December 1979 (India),8.2,488567,774
Once Upon a Time... in Hollywood,2019,R,2h 41min,Comedy; ,26 July 2019 (USA),7.7,488535,5064
La La Land,2016,PG-13,2h 8min,Comedy; ,25 December 2016 (USA),8.0,483017,1774
Juno,2007,PG-13,1h 36min,Comedy; ,25 December 2007 (USA),7.4,481757,925
American Psycho,2000,R,1h 41min,Comedy; ,14 April 2000 (USA),7.6,468059,1258
Back to the Future Part II,1989,PG,1h 48min,Comedy; ,22 November 1989 (USA),7.8,462540,414
500 Days of Summer,2009,PG-13,1h 35min,Comedy; Romance; ,7 August 2009 (USA),7.7,461834,601
"Crazy, Stupid, Love",2011,PG-13,1h 58min,Comedy; Romance; ,29 July 2011 (USA),7.4,460023,370
Deadpool 2,2018,R,1h 59min,Comedy; ,18 May 2018 (USA),7.7,455361,1310
The Hangover Part II,2011,R,1h 42min,Comedy; ,26 May 2011 (USA),6.4,453967,421
Hot Fuzz,2007,R,2h 1min,Comedy; ,20 April 2007 (USA),7.8,450327,811
Home Alone,1990,PG,1h 43min,Comedy; ,16 November 1990 (USA),7.6,448866,422
Parasite,2019,R,2h 12min,Comedy; ,8 November 2019 (USA),8.6,443010,2601
Mr. & Mrs. Smith,2005,PG-13,2h,Comedy; ,10 June 2005 (USA),6.5,439831,829
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35min,Comedy; ,29 January 1964 (USA),8.4,438092,933
Little Miss Sunshine,2006,R,1h 41min,Comedy; ,18 August 2006 (USA),7.8,429216,950
Ice Age,2002,PG,1h 21min,Comedy; ,15 March 2002 (USA),7.5,428871,491
Zootopia,2016,PG,1h 48min,Comedy; ,4 March 2016 (USA),8.0,417325,711
Horrible Bosses,2011,R,1h 38min,Comedy; ,8 July 2011 (USA),6.9,413945,439
Love Actually,2003,R,2h 15min,Comedy; Romance; ,14 November 2003 (USA),7.6,413896,1136
Charlie and the Chocolate Factory,2005,PG,1h 55min,Comedy; ,15 July 2005 (USA),6.6,413780,1436
Shrek 2,2004,PG,1h 33min,Comedy; ,19 May 2004 (USA),7.2,407590,542
Dead Poets Society,1989,PG,2h 8min,Comedy; ,9 June 1989 (USA),8.1,407018,626
"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55min,Comedy; ,1 December 2017 (USA),8.2,404557,1169
Lost in Translation,2003,R,1h 42min,Comedy; ,3 October 2003 (USA),7.7,399082,1974
Tangled,2010,PG,1h 40min,Comedy; ,24 November 2010 (USA),7.7,393363,489
The Terminal,2004,PG-13,2h 8min,Comedy; Romance; ,18 June 2004 (USA),7.4,393039,702
We're the Millers,2013,R,1h 50min,Comedy; ,7 August 2013 (USA),7.0,392433,381
Back to the Future Part III,1990,PG,1h 58min,Comedy; ,25 May 1990 (USA),7.4,389841,335
The 40-Year-Old Virgin,2005,R,1h 56min,Comedy; Romance; ,19 August 2005 (USA),7.1,384072,587
In Bruges,2008,R,1h 47min,Comedy; ,29 February 2008 (USA),7.9,381466,628
Midnight in Paris,2011,PG-13,1h 34min,Comedy; Romance; ,10 June 2011 (USA),7.7,376680,609
This Is the End,2013,R,1h 47min,Comedy; ,12 June 2013 (USA),6.6,376448,760
Tropic Thunder,2008,R,1h 47min,Comedy; ,13 August 2008 (USA),7.0,369967,630
Wreck-It Ralph,2012,PG,1h 41min,Comedy; ,2 November 2012 (USA),7.7,369121,443
American Pie,1999,R,1h 35min,Comedy; ,9 July 1999 (USA),7.0,368148,807
Scott Pilgrim vs. the World,2010,PG-13,1h 52min,Comedy; ,13 August 2010 (USA),7.5,364286,663
Bruce Almighty,2003,PG-13,1h 41min,Comedy; ,23 May 2003 (USA),6.8,363633,640
Brave,2012,PG,1h 33min,Comedy; ,22 June 2012 (USA),7.1,361984,515
Despicable Me 2,2013,PG,1h 38min,Comedy; ,3 July 2013 (USA),7.3,361446,321
Aladdin,1992,G,1h 30min,Comedy; ,25 November 1992 (USA),8.0,361080,330
The Devil Wears Prada,2006,PG-13,1h 49min,Comedy; ,30 June 2006 (USA),6.9,359709,705
Monty Python's Life of Brian,1979,R,1h 34min,Comedy; ,17 August 1979 (USA),8.1,356682,392
Madagascar,2005,PG,1h 26min,Comedy; ,27 May 2005 (USA),6.9,355425,420
Cars,2006,G,1h 57min,Comedy; ,9 June 2006 (USA),7.1,355079,663
Easy A,2010,PG-13,1h 32min,Comedy; Romance; ,17 September 2010 (USA),7.0,348230,339
Dumb and Dumber,1994,PG-13,1h 47min,Comedy; ,16 December 1994 (USA),7.3,345454,473
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,1h 24min,Comedy; ,3 November 2006 (USA),7.3,345007,1247
Ghostbusters,1984,PG,1h 45min,Comedy; ,8 June 1984 (USA),7.8,344766,555
The Big Short,2015,R,2h 10min,Comedy; ,23 December 2015 (USA),7.8,344748,536
The Breakfast Club,1985,R,1h 37min,Comedy; ,15 February 1985 (USA),7.9,344566,871
Knocked Up,2007,R,2h 9min,Comedy; Romance; ,1 June 2007 (USA),6.9,343791,584
Knives Out,2019,PG-13,2h 10min,Comedy; ,27 November 2019 (USA),7.9,342300,2175
22 Jump Street,2014,R,1h 52min,Comedy; ,13 June 2014 (USA),7.0,337286,355
The Mask,1994,PG-13,1h 41min,Comedy; ,29 July 1994 (USA),6.9,335546,278
Men in Black II,2002,PG-13,1h 28min,Comedy; ,3 July 2002 (USA),6.2,335021,647
Green Book,2018,PG-13,2h 10min,Comedy; ,16 November 2018 (USA),8.2,332517,1453
Friends with Benefits,2011,R,1h 49min,Comedy; Romance; ,22 July 2011 (USA),6.5,332366,238
3 Idiots,2009,PG-13,2h 50min,Comedy; ,25 December 2009 (India),8.4,328127,622
Yes Man,2008,PG-13,1h 44min,Comedy; Romance; ,19 December 2008 (USA),6.8,327950,302
Men in Black 3,2012,PG-13,1h 46min,Comedy; ,25 May 2012 (USA),6.8,327676,388
Wedding Crashers,2005,R,1h 59min,Comedy; Romance; ,15 July 2005 (USA),6.9,326314,667
Anchorman: The Legend of Ron Burgundy,2004,PG-13,1h 34min,Comedy; ,9 July 2004 (USA),7.2,322831,618
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9.0,2224522,6836
Pulp Fiction,1994,R,2h 34min,Crime; Drama; ,14 October 1994 (USA),8.9,1767445,3014
The Godfather,1972,R,2h 55min,Crime; Drama; ,24 March 1972 (USA),9.2,1558661,3886
Se7en,1995,R,2h 7min,Crime; Drama; Mystery; ,22 September 1995 (USA),8.6,1390231,1460
The Silence of the Lambs,1991,R,1h 58min,Crime; Drama; Thriller; ,14 February 1991 (USA),8.6,1223451,1298
The Departed,2006,R,2h 31min,Crime; Drama; Thriller; ,6 October 2006 (USA),8.5,1150788,2313
The Wolf of Wall Street,2013,R,3h,Biography; Crime; Drama; ,25 December 2013 (USA),8.2,1128148,1436
The Green Mile,1999,R,3h 9min,Crime; Drama; Fantasy; ,10 December 1999 (USA),8.6,1101707,1725
The Godfather: Part II,1974,R,3h 22min,Crime; Drama; ,18 December 1974 (USA),9.0,1089268,1007
Léon: The Professional,1994,R,1h 50min,Action; Crime; Drama; ,18 November 1994 (USA),8.5,999596,1193
Goodfellas,1990,R,2h 26min,Biography; Crime; Drama; ,21 September 1990 (USA),8.7,982784,1296
Kill Bill: Vol. 1,2003,R,1h 51min,Action; Crime; Thriller; ,10 October 2003 (USA),8.1,970439,2272
The Usual Suspects,1995,R,1h 46min,Crime; Mystery; Thriller; ,16 August 1995 (USA),8.5,961807,1355
Reservoir Dogs,1992,R,1h 39min,Crime; Drama; Thriller; ,2 September 1992 (France),8.3,889962,1145
No Country for Old Men,2007,R,2h 2min,Crime; Drama; Thriller; ,21 November 2007 (USA),8.1,823136,1824
Joker,2019,R,2h 2min,Crime; Drama; Thriller; ,4 October 2019 (USA),8.5,822351,10279
Catch Me If You Can,2002,PG-13,2h 21min,Biography; Crime; Drama; ,25 December 2002 (USA),8.1,790873,828
Snatch,2000,R,1h 42min,Comedy; Crime; ,19 January 2001 (USA),8.3,761662,837
A Clockwork Orange,1971,R,2h 16min,Crime; Drama; Sci-Fi; ,2 February 1972 (USA),8.3,735080,1553
Sin City,2005,R,2h 4min,Crime; Thriller; ,1 April 2005 (USA),8.0,731417,1777
Scarface,1983,R,2h 50min,Crime; Drama; ,9 December 1983 (USA),8.3,715023,1029
The Big Lebowski,1998,R,1h 57min,Comedy; Crime; Sport; ,6 March 1998 (USA),8.1,705941,1225
Taxi Driver,1976,R,1h 54min,Crime; Drama; ,9 February 1976 (USA),8.3,696631,1161
City of God,2002,R,2h 10min,Crime; Drama; ,13 February 2004 (USA),8.6,681961,997
The Grand Budapest Hotel,2014,R,1h 39min,Adventure; Comedy; Crime; ,28 March 2014 (USA),8.1,681915,865
Kill Bill: Vol. 2,2004,R,2h 17min,Action; Crime; Thriller; ,16 April 2004 (USA),8.0,663568,1022
12 Angry Men,1957,Approved,1h 36min,Crime; Drama; ,10 April 1957 (USA),8.9,661761,1575
Fargo,1996,R,1h 38min,Crime; Drama; Thriller; ,5 April 1996 (USA),8.1,596614,947
Now You See Me,2013,PG-13,1h 55min,Crime; Mystery; Thriller; ,31 May 2013 (USA),7.3,581643,760
Prisoners,2013,R,2h 33min,Crime; Drama; Mystery; ,20 September 2013 (USA),8.1,575034,901
Heat,1995,R,2h 50min,Crime; Drama; Thriller; ,15 December 1995 (USA),8.2,557728,1074
Drive,2011,R,1h 40min,Crime; Drama; ,16 September 2011 (USA),7.8,554576,1521
"Lock, Stock and Two Smoking Barrels",1998,R,1h 47min,Action; Comedy; Crime; ,28 August 1998 (UK),8.2,521026,582
L.A. Confidential,1997,R,2h 18min,Crime; Drama; Mystery; ,19 September 1997 (USA),8.2,518387,710
Kick-Ass,2010,R,1h 57min,Action; Comedy; Crime; ,16 April 2010 (USA),7.6,515786,844
John Wick,2014,R,1h 41min,Action; Crime; Thriller; ,24 October 2014 (USA),7.4,514550,1157
Ocean's Eleven,2001,PG-13,1h 56min,Crime; Thriller; ,7 December 2001 (USA),7.7,500919,932
21 Jump Street,2012,R,1h 49min,Action; Comedy; Crime; ,16 March 2012 (USA),7.2,499602,401
Minority Report,2002,PG-13,2h 25min,Action; Crime; Mystery; ,21 June 2002 (USA),7.6,495543,1381
The Hateful Eight,2015,R,2h 48min,Crime; Drama; Mystery; ,30 December 2015 (USA),7.8,493749,1430
American Psycho,2000,R,1h 41min,Comedy; Crime; Drama; ,14 April 2000 (USA),7.6,467924,1258
Casino,1995,R,2h 58min,Crime; Drama; ,22 November 1995 (USA),8.2,448054,623
Nightcrawler,2014,R,1h 57min,Crime; Drama; Thriller; ,31 October 2014 (USA),7.9,443660,758
Mr. & Mrs. Smith,2005,PG-13,2h,Action; Comedy; Crime; ,10 June 2005 (USA),6.5,439781,829
American Hustle,2013,R,2h 18min,Crime; Drama; ,20 December 2013 (USA),7.2,438125,817
Zodiac,2007,R,2h 37min,Crime; Drama; Mystery; ,2 March 2007 (USA),7.7,436889,768
Baby Driver,2017,R,1h 53min,Action; Crime; Drama; ,28 June 2017 (USA),7.6,416067,1096
Horrible Bosses,2011,R,1h 38min,Comedy; Crime; ,8 July 2011 (USA),6.9,413881,439
Crash,2004,R,1h 52min,Crime; Drama; Thriller; ,6 May 2005 (USA),7.7,413651,1693
Captain Phillips,2013,PG-13,2h 14min,Biography; Crime; Drama; ,11 October 2013 (USA),7.8,409137,623
Mystic River,2003,R,2h 18min,Crime; Drama; Mystery; ,15 October 2003 (USA),7.9,408998,1036
The Girl with the Dragon Tattoo,2011,R,2h 38min,Crime; Drama; Mystery; ,21 December 2011 (USA),7.8,408988,723
"Three Billboards Outside Ebbing, Missouri",2017,R,1h 55min,Comedy; Crime; Drama; ,1 December 2017 (USA),8.2,404402,1169
Spotlight,2015,R,2h 9min,Biography; Crime; Drama; ,20 November 2015 (USA),8.1,401931,601
Gangs of New York,2002,R,2h 47min,Crime; Drama; ,20 December 2002 (USA),7.5,394333,1216
We're the Millers,2013,R,1h 50min,Comedy; Crime; ,7 August 2013 (USA),7.0,392362,381
American Gangster,2007,R,2h 37min,Biography; Crime; Drama; ,2 November 2007 (USA),7.8,381835,495
In Bruges,2008,R,1h 47min,Comedy; Crime; Drama; ,29 February 2008 (USA),7.9,381417,628
Training Day,2001,R,2h 2min,Crime; Drama; Thriller; ,5 October 2001 (USA),7.7,378412,711
Sicario,2015,R,2h 1min,Action; Crime; Drama; ,2 October 2015 (USA),7.6,356962,719
Wanted,2008,R,1h 50min,Action; Crime; Fantasy; ,27 June 2008 (USA),6.7,353620,779
Collateral,2004,R,2h,Crime; Drama; Thriller; ,6 August 2004 (USA),7.5,350028,890
Ocean's Twelve,2004,PG-13,2h 5min,Crime; Thriller; ,10 December 2004 (USA),6.5,349317,669
The Godfather: Part III,1990,R,2h 42min,Crime; Drama; ,25 December 1990 (USA),7.6,347672,652
John Wick: Chapter 2,2017,R,2h 2min,Action; Crime; Thriller; ,10 February 2017 (USA),7.5,347579,860
Fast Five,2011,PG-13,2h 10min,Action; Adventure; Crime; ,29 April 2011 (USA),7.3,345450,424
Face_Off,1997,R,2h 18min,Action; Crime; Sci-Fi; ,27 June 1997 (USA),7.3,341451,609
Knives Out,2019,PG-13,2h 10min,Comedy; Crime; Drama; ,27 November 2019 (USA),7.9,341415,2172
The Town,2010,R,2h 5min,Crime; Drama; Thriller; ,17 September 2010 (USA),7.5,341073,498
The Fast and the Furious,2001,PG-13,1h 46min,Action; Crime; Thriller; ,22 June 2001 (USA),6.8,338840,1059
22 Jump Street,2014,R,1h 52min,Action; Comedy; Crime; ,13 June 2014 (USA),7.0,337234,355
The Italian Job,2003,PG-13,1h 51min,Action; Crime; Thriller; ,30 May 2003 (USA),7.0,335566,519
The Mask,1994,PG-13,1h 41min,Action; Comedy; Crime; ,29 July 1994 (USA),6.9,335452,277
Inside Man,2006,R,2h 9min,Crime; Drama; Mystery; ,24 March 2006 (USA),7.6,329265,718
The Equalizer,2014,R,2h 12min,Action; Crime; Thriller; ,26 September 2014 (USA),7.2,322279,613
Man on Fire,2004,R,2h 26min,Action; Crime; Drama; ,23 April 2004 (USA),7.7,322039,762
Ocean's Thirteen,2007,PG-13,2h 2min,Action; Crime; Thriller; ,8 June 2007 (USA),6.9,312811,316
Pineapple Express,2008,R,1h 51min,Action; Comedy; Crime; ,6 August 2008 (USA),6.9,308854,425
Jackie Brown,1997,R,2h 34min,Crime; Drama; Thriller; ,25 December 1997 (USA),7.5,306877,536
Burn After Reading,2008,R,1h 36min,Comedy; Crime; Drama; ,12 September 2008 (USA),7.0,301462,622
Once Upon a Time in America,1984,R,3h 49min,Crime; Drama; ,1 June 1984 (USA),8.4,299388,676
The Irishman,2019,R,3h 29min,Biography; Crime; Drama; ,27 November 2019 (USA),7.9,297140,2676
Lucky Number Slevin,2006,R,1h 50min,Crime; Drama; Mystery; ,7 April 2006 (USA),7.7,295883,548
Home Alone 2: Lost in New York,1992,PG,2h,Adventure; Comedy; Crime; ,20 November 1992 (USA),6.8,289368,261
Lord of War,2005,R,2h 2min,Action; Crime; Drama; ,16 September 2005 (USA),7.6,288544,482
Deja Vu,2006,PG-13,2h 6min,Action; Crime; Sci-Fi; ,22 November 2006 (USA),7.0,287330,458
To Kill a Mockingbird,1962,Approved,2h 9min,Crime; Drama; ,16 March 1963 (USA),8.2,287100,567
The Hangover Part III,2013,R,1h 40min,Comedy; Crime; ,23 May 2013 (USA),5.8,286488,318
RED,2010,PG-13,1h 51min,Action; Comedy; Crime; ,15 October 2010 (USA),7.0,282437,362
3:10 to Yuma,2007,R,2h 2min,Action; Crime; Drama; ,7 September 2007 (USA),7.7,281948,625
The Transporter,2002,PG-13,1h 32min,Action; Crime; Thriller; ,11 October 2002 (USA),6.8,279981,473
From Dusk Till Dawn,1996,R,1h 48min,Action; Crime; Horror; ,19 January 1996 (USA),7.2,279303,664
"O Brother, Where Art Thou?",2000,PG-13,1h 47min,Adventure; Comedy; Crime; ,2 February 2001 (USA),7.7,277150,905
Public Enemies,2009,R,2h 20min,Biography; Crime; Drama; ,1 July 2009 (USA),7.0,275842,639
The Untouchables,1987,R,1h 59min,Crime; Drama; Thriller; ,3 June 1987 (USA),7.9,270871,496
Con Air,1997,R,1h 55min,Action; Crime; Thriller; ,6 June 1997 (USA),6.9,269643,398
Donnie Brasco,1997,R,2h 7min,Biography; Crime; Drama; ,28 February 1997 (USA),7.7,269135,283
Batman Returns,1992,PG-13,2h 6min,Action; Crime; Fantasy; ,19 June 1992 (USA),7.0,267156,679
The Nice Guys,2016,R,1h 56min,Action; Comedy; Crime; ,20 May 2016 (USA),7.4,266631,450
Law Abiding Citizen,2009,R,1h 49min,Action; Crime; Drama; ,16 October 2009 (USA),7.4,265136,548
The Shawshank Redemption,1994,R,2h 22min,Drama; ,14 October 1994 (USA),9.3,2258845,8022
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008 (USA),9.0,2224522,6836
Fight Club,1999,R,2h 19min,Drama; ,15 October 1999 (USA),8.8,1794454,3719
Pulp Fiction,1994,R,2h 34min,Crime; Drama; ,14 October 1994 (USA),8.9,1767445,3014
Forrest Gump,1994,PG-13,2h 22min,Drama; Romance; ,6 July 1994 (USA),8.8,1741097,2354
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,Action; Adventure; Drama; ,19 December 2001 (USA),8.8,1609165,5365
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21min,Adventure; Drama; Fantasy; ,17 December 2003 (USA),8.9,1593859,3681
The Godfather,1972,R,2h 55min,Crime; Drama; ,24 March 1972 (USA),9.2,1558661,3886
The Lord of the Rings: The Two Towers,2002,PG-13,2h 59min,Adventure; Drama; Fantasy; ,18 December 2002 (USA),8.7,1440188,2559
Interstellar,2014,PG-13,2h 49min,Adventure; Drama; Sci-Fi; ,7 November 2014 (USA),8.6,1430797,3977
Se7en,1995,R,2h 7min,Crime; Drama; Mystery; ,22 September 1995 (USA),8.6,1390231,1460
Django Unchained,2012,R,2h 45min,Drama; Western; ,25 December 2012 (USA),8.4,1307059,1525
Gladiator,2000,R,2h 35min,Action; Adventure; Drama; ,5 May 2000 (USA),8.5,1297718,2636
